episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -6941.580927371979, 4, 23.426066386999082, 711, 25353,                                             25353, 2.335655927658081, 99.73804473876953
2, -5643.01432800293, 4, 23.706143440000233, 639, 25992,                                             25992, 2.480027675628662, 107.6596450805664
3, -3004.53999042511, 4, 22.347402037999927, 493, 26485,                                             26485, 2.5844786167144775, 117.73703002929688
4, -2869.1304783821106, 4, 20.216061838000314, 457, 26942,                                             26942, 2.69981050491333, 124.71601104736328
5, -3773.431941986084, 4, 23.44838674499988, 611, 27553,                                             27553, 3.159268617630005, 132.90980529785156
6, -3958.5462839603424, 4, 23.897864833999847, 630, 28183,                                             28183, 3.525986671447754, 141.91265869140625
7, -3339.3853936195374, 4, 20.401088631000675, 551, 28734,                                             28734, 4.056171894073486, 151.50856018066406
8, -3546.0983698368073, 4, 21.722678103000362, 583, 29317,                                             29317, 4.758144855499268, 160.5632781982422
9, -3837.186365008354, 2, 12.559552307000558, 301, 29618,                                             29618, 5.435638904571533, 166.8318634033203
10, -2866.3490818738937, 4, 21.669555586999195, 517, 30135,                                             30135, 6.015673637390137, 169.01248168945312
11, -3056.5286787748337, 4, 23.33426707199942, 615, 30750,                                             30750, 4.780720233917236, 174.674560546875
12, -2939.688845515251, 2, 7.536310272000264, 182, 30932,                                             30932, 4.022538661956787, 176.43109130859375
13, -2286.290229678154, 2, 3.9509829379985604, 82, 31014,                                             31014, 3.714071035385132, 176.13916015625
14, 2441.816713452339, 1, 1.9085408219998499, 35, 31049,                                             31049, 4.235320568084717, 177.32554626464844
15, -2422.8729581832886, 2, 2.9755940980012383, 62, 31111,                                             31111, 5.24702787399292, 177.1175994873047
16, -2314.913123011589, 2, 3.122308657000758, 65, 31176,                                             31176, 4.586645126342773, 175.85992431640625
17, 2321.5810898542404, 1, 2.5261603230010223, 58, 31234,                                             31234, 4.612222671508789, 177.02798461914062
18, -2356.023939847946, 2, 2.51222483499987, 49, 31283,                                             31283, 3.8175957202911377, 176.07684326171875
19, -2740.8480018377304, 3, 5.729817694000303, 131, 31414,                                             31414, 4.127541542053223, 175.6923065185547
20, -2309.756130337715, 2, 2.1292714009996416, 46, 31460,                                             31460, 3.5752809047698975, 174.68113708496094
21, -3000.5646055936813, 2, 6.205238530001225, 154, 31614,                                             31614, 4.111067771911621, 175.18287658691406
22, 1860.7162165343761, 1, 9.234907695999937, 221, 31835,                                             31835, 4.249807834625244, 176.519287109375
23, -2389.1123818159103, 2, 1.7134287919998314, 30, 31865,                                             31865, 3.8165690898895264, 176.4717254638672
24, -2307.8794894218445, 2, 3.3204810219995124, 64, 31929,                                             31929, 3.796309232711792, 177.05291748046875
25, -2419.120954155922, 2, 3.750045239001338, 75, 32004,                                             32004, 4.248621940612793, 175.87039184570312
26, -2351.956863641739, 2, 3.3218973560015, 62, 32066,                                             32066, 5.378927230834961, 176.20169067382812
27, -2243.516744494438, 2, 2.34906708500057, 48, 32114,                                             32114, 4.061844825744629, 176.4961700439453
28, -2547.6798064112663, 3, 6.738687786999435, 144, 32258,                                             32258, 4.629964351654053, 176.67608642578125
29, -2350.9347126483917, 2, 5.92290623900044, 136, 32394,                                             32394, 4.9074015617370605, 176.15966796875
